text,group
"I can’t move up 🆙 n this profession. I’m_x000D_
Too old to move out and find something better.",Unassigned
My job wants us to use specific wording and always changing the way we think. Even though I have experience sometimes it doesn't help.,Unassigned
I don’t have the freedom in my current job,Unassigned
I have the opportunity to learn new things,Unassigned
I am allowed to develop different skills that interest me. For example I proposed we rework part of the website to make it better suited for a webpage and I was allowed to design it from scratch,Unassigned
i don't,Unassigned
"Anything I do I can adapt, strengthen, change, improve in any way I choose to be better and more productive.",Unassigned
"I am able to make my job my own, with autonomy, so I can get better at it",Unassigned
Same answer as before,Unassigned
On doit quand même rester dans le moule établi par la compagnie même si on l’adapte à notre sauce,Unassigned
A constantly changing environment in the industry.,Unassigned
If I don’t my work becomes stressful,Unassigned
J’acquiert beaucoup plus de connaissances pour mieux m’adapter en tant que professionnel à différentes situations problématiques. J’évolue et j’apprends de nouvelles approches.,Unassigned
Travail redondant au final,Unassigned
While working on vehicles there may be a better faster way to do things and I am always looking for that opportunity as I am paid by the job.,Unassigned
samethings every day,Unassigned
My firm is very supportive of me and wants me to be successful. They want me to constantly develop my abilities.,Unassigned
"To truly succeed as a business-owner, it's imperative I work in a niche market.",Unassigned
"My boss and Managers only want to do ""what they think is best""",Unassigned
My special abilities pertaining to jobs I have done in the past are not utilized in my current job.,Unassigned
No room for growth in my current role/duties to expand special abilities.,Unassigned
Its a pretty boring job that doesn't see a lot of variety,Unassigned
Sometimes I do not have the time to explore new things.,Unassigned
"I am the only one on my team that knows how to code for websites and emails; and also the only one, aside from my boss, that have a pretty good understanding of how we use certain industry-specific software.",Unassigned
Je le fais mais je manque de temps pour utiliser au maximum mes compétences. Je dois souvent tourner les coins ronds.,Unassigned
Not much room to improve in a variety of ways,Unassigned
"Lots of professional development opportunities in my work (pd fund, internal training and time aside for learning is encouraged)",Unassigned
As  a manager I can focus on what I want to learn,Unassigned
"J'ai un cadre à suivre, peu de marche de manoeuvre",Unassigned
 car je suis manager jai beaucoup de libertees a prendre des decisions,Unassigned
Current role provides support for continuing education.,Unassigned
I am able to come up with ideas amd implement them,Unassigned
Management here sucks as I don’t know how to manage,Unassigned
"My current job is temporary while I make a career change. My abilities are capable of much more than my current job requires of me. For example, I used to manage projects with a national scope and  budgets of $100,000 to $10,000,000.",Unassigned
Working independently,Unassigned
"On touche à pleins de choses de la plomberie à la constructions, etc",Unassigned
Travail répétitif,Unassigned
"Because sometimes I need to know how to do something in Excel that I don't already know how to do, so I Google it and therefore learn a new skill",Unassigned
Toujours les memes taches,Unassigned
Due to type of work there is not a lot of independence,Unassigned
Lots of opportunity to cultivate specific skills,Unassigned
"Dans mon domaine, il faut faire preuve de créativité et cela va jusqu’à concevoir du graphisme en tout genre. Je suis également artiste peintre amateur et mon travail m’a poussé à par exemple passer au digital, me former à cela afin de peaufiner mes créations et mieux répondre aux attentes. Je gagne du temps en réalisant moi-même le graphisme en fonction des besoins de l’employeur et je me développe des compétences",Unassigned
Améliorer ma dextérité,Unassigned
Je nettoie à ma façon,Unassigned
"My employer makes training funding readily available, and I have expanded my skillset thanks to that.",Unassigned
I able to learn new things in my role by taking classes and seminars,Unassigned
Management encourages continuing education that is paid for,Unassigned
Je dois suivre les procédures,Unassigned
Jobs always provide different situations.,Unassigned
"As a teacher, you can use your own skills & interests to direct the learning.",Unassigned
Technicien pour faire mieux et plus vite,Unassigned
"A lot of time i have to ""make do"" by changing a tool to do a job it was not intended to do",Unassigned
Moi apprendre voler si train frapper moi.,Unassigned
Effort I put in I get back oit,Unassigned
No opportunity to even explore them,Unassigned
"I said that because I'm on the fence aboit that question. I do develop special abilities in my job that can take me to different places and boost my career, but if I had a choice I would be choosing to do something else and improving on other abilities.",Unassigned
I don't see any opportunities to develop special abilities,Unassigned
je n'en fais pas assez,Unassigned
Opportunities at work for training and upskilling,Unassigned
Can’t really get too creative as a custodian,Unassigned
J' ai une bonne capacité de discernement,Unassigned
learning to better communicate and handle difficult situations with patients,Unassigned
Because I have to use creative thinking and problem solving skills to get things done efficiently and in a way that benefits the store and follows company policies.,Unassigned
I design in SharePoint and can often add my own creative touches and flair. I improve my skills every day.,Unassigned
Relationships are important and I have good ones with my suppliers,Unassigned
I have the opportunity to enhance my skills and education thru the initiatives of the employer,Unassigned
I undertake post-grad study in my own time. No concessions are made by my employer.,Unassigned
I work independently and set my own schedule,Unassigned
My job is limited and the resources available to me are limited,Unassigned
"There are a few operations my company does that I am not familiar with. If I decide, I could ask to learn them.",Unassigned
"What I consider my ""special abilities"" don't apply to my job.",Unassigned
Le travail est très simple,Unassigned
We do different tasks each day. I can research and learn more about the tasks I like the most.,Unassigned
There is literally no time for this unless I want to work more and give up family time.,Unassigned
"Cataloging metadata standards, and our library's local practices are always evolving, so we all need to keep our technical abilities honed.",Unassigned
I can use my personal time to seek professional development opportunities to improve my skills.,Unassigned
Besides driving then no,Unassigned
Most of what I do does not require a lot of/high level of skills,Unassigned
"In the realm of government relations, relationship building is a major part of success. This job has increased my network dramatically.",Unassigned
"My work with the unpaid overtime I don't really have time to do something to upskill. The company I work for only highers people at the height of their specialty, meaning there is no growth.",Unassigned
I have a lot of independence when it comes to choosing how I do my job,Unassigned
I have the option of taking continuing legal education courses that are paid for by my employer and are helpful in developing additional skill sets I am interested in.,Unassigned
Always developing new techniques.,Unassigned
My company usually give me opportunity to improve my education and skills.,Unassigned
My organization has a reasonable professional development budget for each employee that I sometimes use to build my skills.,Unassigned
On travaille a notre facon.,Unassigned
"Through workshops, seminars, and other training opportunities",Unassigned
My job requires the skills I have and builds them stronger at the same time.,Unassigned
"Some jobs I can be creative and do what I feel is necessary, but others need to be done in specific ways",Unassigned
"I can work on product development within our products and work on my design skills. Also, as far the install, it can be done in whatever way I deem best.",Unassigned
My job is not overly complicated but must have an understanding of how and when concrete needs to discharged in a timely manner.Concrete once combined with sand and water must be poured in certain amount of time.,Unassigned
"Bookkeeping is rather rigid and structured, so no real opportunities to develop special skills, just mostly general skills",Unassigned
Customer service,Unassigned
"Remaining relevant in the IT industry is an important skill to have, most employers will assist employees with going for trainings and receiving new certifications.",Unassigned
There is no time for training or extra learning. There isn't even enough time just to get today's work done so you can't think about developing any skills,Unassigned
I am given the opportunity to do a lot of my own jobs.,Unassigned
Technical specialities,Unassigned
Every advisor has a different set of skills they bring.,Unassigned
"Context and task specific. A lot of it is repetitive work, planting trees and monitoring weather and environments. But managing work-life balance, especially on the road, is always tricky, and every day i get to choose how to spend my non-work hours, in either productive or useless ways",Unassigned
Things unique to the job - spreadsheets etc,Unassigned
Our culture encourages learning and we get to be involved in many tech upgrade projects,Unassigned
I'm afforded the time to do this,Unassigned
I can take courses to improve my skills.,Unassigned
Ma directrice doit toujours valider,Unassigned
improve my cooking skills,Unassigned
My resident training program is structured in a way that allows us to pursue our clinical interests to a degree,Unassigned
"We have to abide by the rules of the road, and the procedures of the company. You have to be creative on the road sometimes, but that's it.",Unassigned
It’s a pretty standard job. Not much room to develop any special abilities,Unassigned
It's a basic job. No special abilities required,Unassigned
As a chiropractor I am always doing what I think is the best course of action. There is no definite way of providing treatment. Every patient is different,Unassigned
Routine,Unassigned
"Not given leadership opportunities. In my job, they will train in charge roles to the nurses closest to the CNLs.",Unassigned
I always try to do that at work and home,Unassigned
I may continue sales at a different job. Im good with people and not many women in sales,Unassigned
Responses to scenarios are dictated by policy,Unassigned
Working in a grocery store is really not all that challenging intellectually.,Unassigned
"The insurance field is quite standard, there are not specific special abilities per say. You can take the insurance courses offered, but it is to develop in your role in the field not some special ability.",Unassigned
"I have the time and opportunity offered by the company to spend on learning things. Often there is also time allotted for me to pursue my own personal learning that is not necessarily directly related to my work. One example is via a special room in the office called the garage, where we are offered access to tons of tools and machines and training to do different things such as making and printing shirts or making buttons, cutting wood, making chocolate, making candles etc",Unassigned
"Shortcuts, tardiness, skill",Unassigned
I am often directed by my direct supervisor and I am not always allowed to choose my own professional development.,Unassigned
J'entends par cette réponse que mon travail est plutôt routinier et que je n'ai presque pas de possibilité de développement ou d'avancement. Je souhaiterais faire d'autres tâches mais je suis cantonnée à mon poste de secrétaire.,Unassigned
Je connais mon metier,Unassigned
sometimes,Unassigned
Remember dead end job,Unassigned
Getting better at editing and writing,Unassigned
Not enough training,Unassigned
la formation est parfois déficiente ou pas adapter a la réalité.,Unassigned
Because I'm professional  and know everything there is to know been doing for 45 years,Unassigned
I am very independent in my job,Unassigned
I own the company.,Unassigned
Rewards for coming up with new ideas.,Unassigned
Some duties take a lot of time - small non profit,Unassigned
Developing my professional skills and knowledge is a core component of my work. I enjoy the challenge and reward of this.,Unassigned
My job has almost no connection to my abilities.,Unassigned
I learn new styles or ways of conveying information all the time.,Unassigned
i dont always get the chance,Unassigned
Creative ability to lead team,Unassigned
"I'm alloted to spend 2% of my base salary on education and development for myself _x000D_
, my subordinates are allotted the same",Unassigned
La quantité de travail rend ça compliqué,Unassigned
"Continuous improvement, some training opportunities",Unassigned
Driving skills can always be improved,Unassigned
What is so special about my abilities?,Unassigned
Faire de la recherche.,Unassigned
I can set personal goals.,Unassigned
My responsibilities include numerous creative opportunities which let me develop new and unique products,Unassigned
I’m so under-utilised in favour of white make colleagues that I’m beginning to forget even the skills I do have. There is no growth framework offered to me despite asking for it several times.,Unassigned
I conduct investigations and have to develop  new ways to assist people and locate people  for example utilizing contacts for information,Unassigned
There is less of a focus on the individual and more on the institution to allow this type of self-development.,Unassigned
Pas vraiment,Unassigned
In this changing world and multiple merging of companies or their assets can be challenging to  accurately record this and apply payments.,Unassigned
I can decide on the clientele I treat the conditions and train for it,Unassigned
A performance development plan allows me to work with manangement to achieve work related goals,Unassigned
"The job description is pretty much set in stone, there is limited room for variation amongst staff.",Unassigned
I have influence over several processes,Unassigned
Depends on the patient,Unassigned
My company is big on individual development,Unassigned
"Again, the a burden of the workload and demands from my employer don't allow me to choose what to do.",Unassigned
"I am encouraged to take courses and attend workshops. We have many internal opportunities to receive additional training and take courses. I work for a very large American university. We are well-funded and professional wellness, work-life balance, and life-long learning are very important at my institution.",Unassigned
I have a specific task to get done ...how I do it is up to me,Unassigned
"j'y travail a chaque jours et j'adore developper mes capacités en apprentissage, de toute sorte ...je suis curieux de nature_x000D_
",Unassigned
I am working in a very diverse but also specialized field.,Unassigned
I create the opportunity,Unassigned
"If I come up with an idea, many times it gets approved.",Unassigned
Dealong with people who have recently lost a loved one is very important to me,Unassigned
Lots of freedom to explore interests and develop new skills.,Unassigned
Not too many opportunities to be focus on my own actual abilities,Unassigned
I have the opportunity because I am very gifted when it comes to creative investing.  I can use my talent and my gut intuition to follow investments I think are going to pay off.,Unassigned
"We have set skills we need, no development.",Unassigned
"As a graphic designer, it is important to stay in tune with various creative and efficient ways to show and produce the work. Software companies are constantly updating their software including a lot of artificial intelligence features that are now strongly being used. So it's part of my job to recommend creative approaches and efficiency's when it comes to saving money, working on a new product or creating new marketing materials.",Unassigned
Lots of opportunity in architecture to develop both analogue and digital drafting skills and beyond.,Unassigned
No time,Unassigned
Je peut inventer et fabriquer des morceaux et ou des gabarits,Unassigned
I am encouraged to use my skills and to improve other skills to be used while in the job. This may open new job opportunities for me,Unassigned
"I can take more courses to learn more, but won't get paid more so won't.",Unassigned
I’m the senior barista at work and many of the regulars only like the way I serve them,Unassigned
J’ai accès à plusieurs programmes de formation,Unassigned
There’s not enough time to do work tasks let alone professional development time,Unassigned
Development of my own abilities transfer to my personal life,Unassigned
"Au-delà de la formation théorique, les aptitudes à interagir avec d'autres intervenants, avec des clients, sont clés.",Unassigned
I can get creative at times,Unassigned
"If a customer asks for something out of my scope, I can use that to expand my skillset or even learn something new",Unassigned
I am a 4th class and can study for my 3rd class ticket.,Unassigned
The work that I do is fairly structured.  So it would be difficult to have any unique abilities when it comes to the job itself.,Unassigned
Tout est spécial dans mon domaine niché.,Unassigned
I don't get a lot of opportunities to learn or do more,Unassigned
Priorities of the job.,Unassigned
Business is based around my skill set and techniques I develop,Unassigned
"Again, I'm a carpenter. Skilled work. The more you do something better you get.  I learn new skills constantly. I am constantly learning about new materials, new building practices and new installation/fabrication methods as my industry continues to be shaped by changing technologies.",Unassigned
"My job allows me to do all manner of things, because I worked so hard for so long to get to a level that I can do that.",Unassigned
Good,Unassigned
It’s repetitive and doesn’t really engage in a lot of skills,Unassigned
"In order to meet standards for accreditation and the guidelines set out by our funder, my unit had relatively strict guidelines dictating how we work and there is not much space for specialization",Unassigned
I can take extra courses to improve my knowledge on new equipment,Unassigned
I can develop more effective ways of teaching groups.,Unassigned
"Bc I do, I can take training any time I want or read",Unassigned
The opportunities exist in theory however my employer does a terrible job of actually facilitating or enabling me to take these opportunities.,Unassigned
Repetition and demand for no personal appearance,Unassigned
Sometimes training opportunities arise at my work.,Unassigned
At my job there is no limit on what I can do and learn,Unassigned
j'ai un travail stimulant qui me permet de me perfectionner tous les jours,Unassigned
Place à l’initiative,Unassigned
J'ai débuté a donner de la formation et je suis quand meme bon et je peux m'améliorer,Unassigned
As a carpenter i am always improving and learning new things. Their is much opportunity to specialize in many different forms of carpentey,Unassigned
We have access to continual education link with work,Unassigned
Different  techniques of cleaning..arranging my abilities.,Unassigned
"I’m not a sales person, but I often get involved in sales. I would see that as development.",Unassigned
"I am always trying to lern new things like learning to speak spanish, learning about environment products that you can find in your kitchen (vinegar, baking soda, toothpaste)",Unassigned
"I work for a nepotistic organization, not a meritocracy",Unassigned
"Because I work at a national level, I have nine peers with similar titles and responsibilities. I have to do unique things with my team in order to stand out, both for my own growth and for my team's satisfaction.",Unassigned
I am a foreign trained dentist as well but in Canada the licensing procedure is too long and too expensive. So with my dental background getting this job was a dream come true because I have the chance to utilize my previous work experience and knowledge.,Unassigned
I work independently so I can try to innovate the way I do things without much need for approval.,Unassigned
I do this outside of work,Unassigned
Roles are set and written,Unassigned
No training provided even upon insistence.,Unassigned
My boss encourages us to make choices that are best for us. Wether it’s upgrading a drivers license to taking a course,Unassigned
"I am constantly researching through various organizations in my field, to stay current and update my knowledge for my 2 fields that I work in. Industry trade magazines, industry websites and conversations with other people in my fields.",Unassigned
Continuous learning,Unassigned
J'utilise mon jugement et il y a toujours des projets d'ifferents,Unassigned
Not many opportunities in current job !,Unassigned
I can choose if I want to specialize with a specific group of potential clients. I can choose to narrow my skills using specific techniques or address specific types of conditions,Unassigned
"Printing so not easy to deal with, different materials we use can cause grief during bindery process, you have to understand the capabilities of the equipment, humidity, static in the plant.",Unassigned
I work in technology so there are endless opportunities to learn and evolve.,Unassigned
I can specialize in different things,Unassigned
"I'm a writer.  The more I write, the better I get it.",Unassigned
We're offered educational opportunities but to take advantage of them requires time off the clock.  My workload is to heavy to accommodate learning on the clock.,Unassigned
I have limited control over the files I work on and when I do make requests to work on specific topics or tasks it isn’t always accepted,Unassigned
"Continuing development is built in to my public sector, government work as legal counsel.",Unassigned
My experience (editing books) improves with each project I complete,Unassigned
Could try harder to develop more,Unassigned
My job provides training opportunities throughout the year and gives us room to practice our new skills,Unassigned
daily putting out fires and no pay for enhancing my abilities means I'm not prioritizing this at work right now,Unassigned
"I am a driver of a commercial vehicle for 45 years, I feel that I have developed those abilities years ago but am open to correction",Unassigned
Je ne comprends pas la question,Unassigned
Nouvelle expérience de travail avec marger de manoeuvre pour innover.,Unassigned
Promotion,Unassigned
"Dans une classe, c'est à moi de choisir mes approches pédagogiques selon la clientèle.",Unassigned
Je dois avoir l’approbation de mon superviseur,Unassigned
Je ne saurais pas vraiment quoi répondre….. désolé,Unassigned
I do what the shift schedule says and what my clients require of me,Unassigned
I get opportunities to improve my communication and interaction skils,Unassigned
"Even when you ask for a different job, it doesn’t happen.",Unassigned
"take on additional responsibilities , volunteer for projects.",Unassigned
"J'ai l'occasion de développer certaines capacités particulières, mais pas toujours puisque les contraintes sont nombreuses.",Unassigned
Lots of the work I do is unstructured and I can work out the best way to do it. Often that means learning new things.,Unassigned
Je n’ai pas de capacités spéciales,Unassigned
Aucune capacité nécessaire pour travailler en alimentation,Unassigned
J'ai un travail aux multiples tâches et défis qui me donne amplement de raisons de me développer,Unassigned
There are learning opportunities,Unassigned
My manager supports professional and personal development.,Unassigned
logique d opération,Unassigned
Mes idées sont bienvenues de manière générale mais le type de gestion fait qu'elles ne sont pas mise en place.,Unassigned
I have learned lots of new things that i would never have learned otherwise and it has really shown me that I can do things i never thought i could,Unassigned
"J'ai beaucoup de latitude pour choisir de quelle manière je peux contribuer au succès de l'équipe. Je dois faire du travail technique comme tout le monde, mais il reste une bonne marge de manoeuvre pour mettre relief les forces et intérêts de chacun. Par exemple, ces temps-ci de consacre beaucoup de temps à faire du mentorat auprès des conseilleurs juniors (par choix) et c'est reconnu positivement dans mon évaluation de performance même si cela ne génère pas directement du revenu.",Unassigned
"I make the decisions to move a project forward, how it moves and in what shape it moves_x000D_
",Unassigned
I can work on myself and do things to make me better at my iob,Unassigned
Limit on funding for learning opportunities,Unassigned
"I am supported in searching out my own opportunities for learning as well as provided opportunities to learn through my employer (some paid for, some not).",Unassigned
My job is quite manual labour with little to no opportunity to advance any other abilities because those are largely unrelated,Unassigned
Limited funding is available to develop my skills,Unassigned
The job is what you make it. There are endless learning opportunities and room for growth in the organization. Also industry seminars and conferences I can attend.,Unassigned
"I'm slowly figuring out how I can specialize through different workshops, or unique events where my skills can be applied in a unique way.",Unassigned
"I responded with ""Very true"" because it's empowering to recognize the potential to develop one's unique talents and abilities. For example, I have a passion for cybersecurity which I may find opportunities to do a postgraduate program and later work in the field",Unassigned
"I am left to my own devices throughout the day, so I am really in control of whether I want to develop my skill set.",Unassigned
Limited time to go beyond the work requirements to develop new skills,Unassigned
Networking and business development opps,Unassigned
Nous devons respecter à la lettre le rendement du service selon le désir de l'employeur uniquement ce qui cause des conflits,Unassigned
We are encouraged to use our strengths to better the client experience.,Unassigned
"Je me suis toujours senti extraterrestre sur le marché du travail, mais la Massothérapie me permet d'être au maximum de ma capacité.",Unassigned
I dont get a chance to do new things as an expert on my things/tasks,Unassigned
Je n'es pas la possibilité de monter au sein de l'endroit où je travail l'expérience et les compétences ne sont pas reconnues,Unassigned
"Les dossiers sur lesquels je travaille peuvent varier grandement d'une journée à l'autre, donc cela dépend de la période.",Unassigned
Aucune capacités spéciales nécessaire à mon travail.,Unassigned
Depends on the different trainings available,Unassigned
Get to learn,Unassigned
I am a self learner,Unassigned
I can find tricks and ways to do my job more effeciently with time and experience,Unassigned
I am a cook and we are really allowed to play around with recipes within reason and I find I learn know things about cooking everyday,Unassigned
New innovations and technology are being worked on and released every year. We have a vehicle and equipment obsolescence plan in place to limit costs of repairs and labour so we regularly see the new tech and have to learn how to use and repair the new tech.,Unassigned
"When there is time between projects, or in lulls, I’m encouraged to seek out learning through the company’s worsening opportunities or Coursers. The projects also allow me some flexibility to expand in my skills which differ from others on the project.",Unassigned
"As a freelance designer, having a career is all about developing your own abilities",Unassigned
Mon emploi me permet d'acquérir de nouvelles connaissances et capacité dans le domaine de la recherche. L'emploi est cependant très encadré permettant de développer personnellement peu de capacités.,Unassigned
There are set protocols and procedures in place that we must follow and adhere to. There isn't much room for creativity or developing your own way of doing things outside of those protocols.,Unassigned
there isn't alot of ability to advance at my current job and my main skill is in training and I don not get to do that in this position,Unassigned
i’m my own boss in a creative field… there’s always boundaries being tested,Unassigned
Work will pay for Education if it relates to work.,Unassigned
"I am given a lot of freedom to research and teach the way I want to. This often means I am adjusting my practices depending on audience and other stakeholders, which means learning about such audiences and tailoring teaching and research to them.",Unassigned
I get to find new methods and techniques to be the best teacher possible.,Unassigned
Je ne comprend pas vraiment la question. J'ai l'impression d'être un pokémon.,Unassigned
Particulièrement lorsque je dois utiliser les médias sociaux.,Unassigned
I am always developing my skills as a barber and my management/people skills,Unassigned
Dépendamment si ces capacités sont extra-curriculaires,Unassigned
"Je travaille seule et mon travail est très routinier, donc c’est moins facile de développer mes capacités spéciales.",Unassigned
Je suis une étudiante universitaire et je suis surqualifié pour ce poste,Unassigned
Vol militaire pour aller à la guerre,Unassigned
"Canadian jobs and the culture of governmental jobs do not encourage you to innovate beyond the mold, instead preferring to promote based on nepotism or hone preferred skills.",Unassigned
J'ai l'opportunité de choisir mes méthodes de travail et de me renseigner continuellement sur les récentes avancées dans mon dossier.,Unassigned
je travail dans un cadre prédéfinie,Unassigned
Some of their interests or strengths,Unassigned
What they are able to do and accomplish. What kind of personality they have. A few other things,Unassigned
"Their levels of intelligence, motivation, and general personality type (introvert vs. extrovert, whether they are trustworthy)",Unassigned
The way they carry themselves,Unassigned
If they follow passions or not,Unassigned
Their work ethic and moral compass,Unassigned
"Goals_x000D_
Interests _x000D_
Attitudes_x000D_
Morals maybe",Unassigned
Level of education,Unassigned
Introvert or extrovert,Unassigned
"Social skills, technical skills",Unassigned
"Reliable, trustworthy, intelligent.",Unassigned
What they're willing to put up with; what they may be good at; what they value.,Unassigned
"Possibly, their interests,  things they are good at. Things they have a passion for.",Unassigned
"Lifestyle_x000D_
Education_x000D_
Experience_x000D_
Intelligence_x000D_
Ambition_x000D_
Work ethic",Unassigned
"Ambition, drive, work life balance",Unassigned
Likes and strengths,Unassigned
Some personality traits depending on the type of job field they're in.,Unassigned
"How much money they make and therefore how comfortable they might be, what degree of formal education they received, what their specialty is (what they know how to do from experience)",Unassigned
"Their passions, what drives them",Unassigned
"Interest, priorities",Unassigned
"Know one things, know a thousand things. You can tell how much they value themselves, get a gauge of their current life situation, their attitudes, etc.",Unassigned
Ethics and morals and their lifestyle,Unassigned
"Sometimes you can guess if they lean politically left or right, if they are wealthy. But you can only guess.",Unassigned
"Their personality, their strengths, & their likes & dislikes.",Unassigned
"Ambitions_x000D_
",Unassigned
"Work ethic, general skillet, patience level",Unassigned
How they react in certain situatons and what values they posses,Unassigned
What their skills may be.,Unassigned
"I don't think you can know much about person by what they do, nmbut moreover their attitude towards what they do.",Unassigned
Their values and motivations,Unassigned
"What their social circle might be like, how much time they spend with family or at home doing domestic work, what their income is, what skills they have, what knowledge or Education they have received",Unassigned
If they are more analytical or creative,Unassigned
"Income status, home ownership status, do they have health care, employer benefits, education level, many other things, but all, including these are only know generally and are “good guesses” rarely known facts.",Unassigned
You can tell how much money they make and what they’re passionate about.,Unassigned
Are they driven or passive!!!!!!!,Unassigned
Skills they have,Unassigned
Possible income bracket.,Unassigned
It all depends on how much they enjoy what they do,Unassigned
Personality,Unassigned
"Interest, pursuits, personality, dislikes, all of these just to an extent",Unassigned
A glimpse of drive or motivation they place on providing things needed.,Unassigned
"Work ethic, life choices",Unassigned
You can frequently tell what they value,Unassigned
thier motivation level,Unassigned
Approximate income and education.,Unassigned
"Well educated or under educated. _x000D_
Family money or working to make a living.",Unassigned
"Passions, attitudes, goals",Unassigned
"Where their priorities are, what the individual does to help society, and how they like to support the whole government.",Unassigned
